time_fs,pop_1,pop_2,pop_3,coherence
1.553106212424849559e+02,8.254687766988343389e-01,1.514520141434525236e-01,2.307920915771363365e-02,1.101455880722823855e+00
1.563126252505009859e+02,8.194157223690154979e-01,1.213046125876525438e-02,1.684538163722198723e-01,1.032864214392180902e+00
1.573146292585170158e+02,5.441633871023873192e-01,1.014017677864932354e-01,3.544348451111200005e-01,1.727303815129404452e+00
1.583166332665330458e+02,4.335629252582037796e-01,1.660582930960109449e-01,4.003787816457857196e-01,1.885623730650867191e+00
1.593186372745490758e+02,4.655117065787108266e-01,4.311969876355781217e-01,1.032913057857112321e-01,1.756694857907345586e+00
1.603206412825651057e+02,6.645580768956178552e-01,2.813235570561729015e-01,5.411836604820950691e-02,1.490832950501532750e+00
1.613226452905811357e+02,7.342364281498912071e-01,2.114967381269294497e-02,2.446138980374164273e-01,1.240679119867020619e+00
1.623246492985971656e+02,6.140882110516682202e-01,5.093328611535857114e-02,3.349785028329739234e-01,1.522046112101705262e+00
1.633266533066131956e+02,5.942543442874288484e-01,8.234924144307846638e-02,3.233964142694933930e-01,1.645580497289019339e+00
1.643286573146292540e+02,5.324667231939839152e-01,3.866992358108009564e-01,8.083404099521539210e-02,1.676063826757500097e+00
1.653306613226452839e+02,5.282457968384011160e-01,3.867171851137260474e-01,8.503701804787328067e-02,1.690525570717762216e+00
1.663326653306613139e+02,5.865838382613617341e-01,8.417890533965803612e-02,3.292372563989808265e-01,1.656298968035307073e+00
1.673346693386773438e+02,6.133024590812972132e-01,5.210243878261421741e-02,3.345951021360891731e-01,1.527584369966359379e+00
1.683366733466933738e+02,7.412386956989192033e-01,1.992208873920353271e-02,2.388392155618777879e-01,1.222513336130817363e+00
1.693386773547094037e+02,6.694750206598532039e-01,2.800000539293749924e-01,5.052492541077215765e-02,1.471631560352850032e+00
1.703406813627254337e+02,4.628414871106966699e-01,4.294691205613759277e-01,1.076893923279275828e-01,1.768310638313179251e+00
1.713426853707414637e+02,4.268987721611147701e-01,1.673682831572564367e-01,4.057329446816294038e-01,1.888141508851307826e+00
1.723446893787574936e+02,5.422729277908001633e-01,1.045165209969050046e-01,3.532105512122954427e-01,1.735706656138955140e+00
1.733466933867735236e+02,8.244542442438957952e-01,1.235911168547221446e-02,1.631866440706325749e-01,1.025298531106722422e+00
1.743486973947895535e+02,8.296652265910299251e-01,1.497173933741526297e-01,2.061738003481784071e-02,1.077577636333109767e+00
1.753507014028055835e+02,4.842019804195266119e-01,3.952684980211423338e-01,1.205295215593313041e-01,1.794660048360526616e+00
1.763527054108216134e+02,3.103992724772137168e-01,2.315753404624740774e-01,4.580253870603125388e-01,1.941682451170233747e+00
1.773547094188376434e+02,4.338116995620906469e-01,1.847919604469223376e-01,3.813963399909874874e-01,1.910746947024581477e+00
1.783567134268537018e+02,8.194600426038537444e-01,7.279743629194687649e-02,1.077425211041999342e-01,1.259886484146236940e+00
1.793587174348697317e+02,9.543183411336915167e-01,4.357293323904343901e-02,2.108725627265702583e-03,5.167261284488575690e-01
1.803607214428857617e+02,5.720975106129024823e-01,2.985122146044641989e-01,1.293902747826338739e-01,1.763715360827061485e+00
1.813627254509017916e+02,2.749068838201570997e-01,2.488180592003005343e-01,4.762750569795426436e-01,1.935256859904500804e+00
1.823647294589178216e+02,3.393648026034633003e-01,2.565881887673089889e-01,4.040470086292281549e-01,1.974736781443511724e+00
1.833667334669338516e+02,7.373533154012238411e-01,1.872243022283550939e-01,7.542238237042175886e-02,1.452413592130466613e+00
1.843687374749498815e+02,9.961000882944356372e-01,1.428226919000402683e-04,3.757089013665005674e-03,1.476710098738851784e-01
1.853707414829659115e+02,6.791810021919629792e-01,1.758917273354645150e-01,1.449272704725731720e-01,1.638064643389461006e+00
1.863727454909819414e+02,3.259310374072760252e-01,2.135974067212391414e-01,4.604715558714851387e-01,1.929746551041924274e+00
1.873747494989979714e+02,3.074176160079607478e-01,2.863347841274526684e-01,4.062475998645870279e-01,1.982289593306486353e+00
1.883767535070140013e+02,6.202645100896322372e-01,3.187204605848141248e-01,6.101502932555429720e-02,1.557230403113585737e+00
1.893787575150300313e+02,9.378815178074347836e-01,3.408944513642696295e-02,2.802903705613893348e-02,7.437066517922104047e-01
1.903807615230460613e+02,7.508331076646034274e-01,7.144855874088992809e-02,1.777183335945072551e-01,1.419180256287238429e+00
1.913827655310620912e+02,4.350531262660045639e-01,1.445103043889340300e-01,4.204365693450619057e-01,1.849821670579739008e+00
1.923847695390781496e+02,3.629017474828341583e-01,2.580600303556495057e-01,3.790382221615166691e-01,1.979318210201032713e+00
1.933867735470941795e+02,5.241855412526182922e-01,4.211769135896185068e-01,5.463754515776372139e-02,1.581596674909719002e+00
1.943887775551102095e+02,7.995604526305991611e-01,1.307077601354500740e-01,6.973178723395147272e-02,1.309744911091773822e+00
1.953907815631262395e+02,7.477654323637576983e-01,1.920838408793931751e-02,2.330261835483037614e-01,1.208363875274067523e+00
1.963927855711422694e+02,5.521964919932139670e-01,7.562987850265597001e-02,3.721736295041307430e-01,1.650932555858795725e+00
1.973947895791582994e+02,4.961049944398063793e-01,1.810470440140535542e-01,3.228479615461405383e-01,1.883341740953751842e+00
1.983967935871743293e+02,4.960555683335145516e-01,4.571256911019711544e-01,4.681874056451467564e-02,1.549767748258273015e+00
1.993987975951903593e+02,6.301425368460761289e-01,2.519116915869286100e-01,1.179457715669957191e-01,1.686830976376691549e+00
2.004008016032063892e+02,6.621840591726076974e-01,3.038267569223266143e-02,3.074332651351602275e-01,1.379367471629939335e+00
2.014028056112224192e+02,6.266859712617309786e-01,4.137279453879897512e-02,3.319412341994708027e-01,1.468611142867322750e+00
2.024048096192384492e+02,6.657204646932127767e-01,8.696214742959244848e-02,2.473173878771953993e-01,1.586051705759031094e+00
2.034068136272544791e+02,5.543934869760007711e-01,4.125816086663352533e-01,3.302490435766449600e-02,1.460596181945154504e+00
2.044088176352705091e+02,4.882959609243239241e-01,3.512302772131300488e-01,1.604737618625463047e-01,1.862932945957910036e+00
2.054108216432865390e+02,5.209766316710118250e-01,9.017416690184705541e-02,3.888492014271416886e-01,1.708180347491057294e+00
2.064128256513025690e+02,6.284111757124447584e-01,6.126117646388931637e-02,3.103276478236663971e-01,1.551381485314327291e+00
2.074148296593186274e+02,8.148970376259166981e-01,1.743115004207746940e-02,1.676718123320065368e-01,1.085774425544843824e+00
2.084168336673346573e+02,6.813586930282528042e-01,3.029120399725682145e-01,1.572926699917929355e-02,1.253707640710649107e+00
2.094188376753506873e+02,4.192412181144615779e-01,3.918155903806542772e-01,1.889431915048845889e-01,1.917660615885053321e+00
2.104208416833667172e+02,3.746976406689557226e-01,1.652507486883902088e-01,4.600516106426545959e-01,1.879493397278548583e+00
2.114228456913827472e+02,5.603758302558811133e-01,1.310178964710406735e-01,3.086062732730787128e-01,1.775788957635971332e+00
2.124248496993987771e+02,8.938261493995758311e-01,7.010530562978976865e-03,9.916332003744594836e-02,8.064832644789834415e-01
2.134268537074148071e+02,8.295074725601757626e-01,1.672977589578910906e-01,3.194768481933776914e-03,8.942451222003027222e-01
2.144288577154308371e+02,4.372919038999996677e-01,3.603184152946116714e-01,2.023896808053889662e-01,1.928969359365193759e+00
2.154308617234468670e+02,2.769199300264070795e-01,2.185909601450453932e-01,5.044891098285477771e-01,1.903762243850676050e+00
2.164328657314628970e+02,4.574529844511767140e-01,2.237985809247652058e-01,3.187484346240584965e-01,1.937810937197339989e+00
2.174348697394789269e+02,8.796955418197262011e-01,6.847936758571708526e-02,5.182509059455736589e-02,1.037064645829631981e+00
2.184368737474949569e+02,9.405627652288773843e-01,5.389587906983574900e-02,5.541355701287532798e-03,6.292513222142497309e-01
2.194388777555109868e+02,5.210387486437259019e-01,2.712146065446715548e-01,2.077466448116029873e-01,1.884580057804098319e+00
2.204408817635270168e+02,2.624346090543855925e-01,2.254326203903063985e-01,5.121327705553084808e-01,1.899240735579637906e+00
2.214428857715430752e+02,3.718270733787830684e-01,3.011457964456201175e-01,3.270271301755971471e-01,1.994307116087483012e+00
2.224448897795591051e+02,7.858687688930726667e-01,1.865386890817256060e-01,2.759254202520232055e-02,1.203751162603059921e+00
2.234468937875751351e+02,9.686459486908008953e-01,1.531939246071531164e-03,2.982211206312837190e-02,4.304851755723252960e-01
2.244488977955911650e+02,6.230170221167713462e-01,1.600531008843540381e-01,2.169298769988750042e-01,1.739481665018076884e+00
2.254509018036071950e+02,3.332244474682871105e-01,1.836790285174045023e-01,4.830965240143088035e-01,1.893010912465294071e+00
2.264529058116232250e+02,3.510753239597101394e-01,3.291857073677876278e-01,3.197389686725025104e-01,1.998846638173769730e+00
2.274549098196392549e+02,6.564995117273659808e-01,3.226693814660916981e-01,2.083110680654268188e-02,1.318360628135458956e+00
2.284569138276552849e+02,8.986087176375437968e-01,2.513191897163522329e-02,7.625936339082148296e-02,9.116690964683330511e-01
2.294589178356713148e+02,6.898157861738648533e-01,6.856216706867256094e-02,2.416220467574632935e-01,1.508884722599192818e+00
