Time_fs,Coherence_l1,QFI,Entropy_VN,Purity,Linear_Entropy,Bipartite_Entanglement,Multipartite_Entanglement,Pop_Site_1,Pop_Site_2,Pop_Site_3,Pop_Site_4,Pop_Site_5,Pop_Site_6,Pop_Site_7
8.50000000e+01,2.06279667e+00,3.04151520e+04,7.06243966e-02,9.74846469e-01,2.93457857e-02,6.86304118e-02,5.50680383e-02,3.58830319e-01,6.00062082e-01,2.57632395e-02,5.00728272e-03,7.91130341e-03,1.09258480e-03,1.33318888e-03
8.60000000e+01,2.04919323e+00,3.08111920e+04,7.08933405e-02,9.74762466e-01,2.94437896e-02,6.88175505e-02,5.52141062e-02,3.61215776e-01,5.98121497e-01,2.58194185e-02,4.90274601e-03,7.67704988e-03,9.60341016e-04,1.30317192e-03
8.70000000e+01,2.03677012e+00,3.10870476e+04,7.04588821e-02,9.74945216e-01,2.92305809e-02,6.83434637e-02,5.48517345e-02,3.65905772e-01,5.93950477e-01,2.57932760e-02,4.77171524e-03,7.46476853e-03,8.34841035e-04,1.27915013e-03
8.80000000e+01,2.02650600e+00,3.14379519e+04,7.14134210e-02,9.74511186e-01,2.97369502e-02,6.92280049e-02,5.55970532e-02,3.70796917e-01,5.89336879e-01,2.59146846e-02,4.63449113e-03,7.32610220e-03,7.25913290e-04,1.26501366e-03
8.90000000e+01,2.01906076e+00,3.17600864e+04,7.08720822e-02,9.74709521e-01,2.95055583e-02,6.86683558e-02,5.51830174e-02,3.76423099e-01,5.83804299e-01,2.62122480e-02,4.49110371e-03,7.18557972e-03,6.24438011e-04,1.25923228e-03
9.00000000e+01,2.00919237e+00,3.21923752e+04,7.03033766e-02,9.74988408e-01,2.91801903e-02,6.79940806e-02,5.46551541e-02,3.81637451e-01,5.78828567e-01,2.64148366e-02,4.36440578e-03,6.96551429e-03,5.31340821e-04,1.25788435e-03
9.10000000e+01,2.00036914e+00,3.25064892e+04,7.02783850e-02,9.74989352e-01,2.91790888e-02,6.79455615e-02,5.46289682e-02,3.87817935e-01,5.72833778e-01,2.66284499e-02,4.22868008e-03,6.77693891e-03,4.52477643e-04,1.26174090e-03
9.20000000e+01,1.99000461e+00,3.28196522e+04,7.14127957e-02,9.74502080e-01,2.97475731e-02,6.90052410e-02,5.54917256e-02,3.94582674e-01,5.66364864e-01,2.67408670e-02,4.08745609e-03,6.56227112e-03,3.88561485e-04,1.27330657e-03
9.30000000e+01,1.97815231e+00,3.30488377e+04,7.44776820e-02,9.73147122e-01,3.13283574e-02,7.20235661e-02,5.79146183e-02,4.02904901e-01,5.58368732e-01,2.68598216e-02,3.92860377e-03,6.31333259e-03,3.32750876e-04,1.29185888e-03
9.40000000e+01,1.96998293e+00,3.31597513e+04,7.51710677e-02,9.72799942e-01,3.17334012e-02,7.27073702e-02,5.84842210e-02,4.12612978e-01,5.48855894e-01,2.70530200e-02,3.78631619e-03,6.09075203e-03,2.89369012e-04,1.31167092e-03
9.50000000e+01,1.96180261e+00,3.32515014e+04,7.59618617e-02,9.72445588e-01,3.21468138e-02,7.34189103e-02,5.90760264e-02,4.23217027e-01,5.38495003e-01,2.71557071e-02,3.63307914e-03,5.90405091e-03,2.54774805e-04,1.34035766e-03
9.60000000e+01,1.95108409e+00,3.33010523e+04,7.64943096e-02,9.72191751e-01,3.24429568e-02,7.38945595e-02,5.94662168e-02,4.34912066e-01,5.27341566e-01,2.70028641e-02,3.48820399e-03,5.66147718e-03,2.30976409e-04,1.36284613e-03
9.70000000e+01,1.94410793e+00,3.32887285e+04,7.69120282e-02,9.71988621e-01,3.26799420e-02,7.42833396e-02,5.97944607e-02,4.46892187e-01,5.15728850e-01,2.69376879e-02,3.34684770e-03,5.46819415e-03,2.19216668e-04,1.40701613e-03
